,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
28765,-0.020897062,-0.00092434185,-0.08462343,0.00045253558,-0.00021338706,-0.4509948,-0.0005671125,-0.00031253806,0.00025403072,-7.245724e-05,-1.67883,0.8639722,1.1212386,-0.7271073,-0.0006870552,-0.00010182009,0.0005927927,-0.00029726623,-3.339036e-05,-1.0352162,0.0010605882,-4.40929e-05,0.0015812033,-0.019956354,-1.0820163,-2.6411279e-05,-0.00015983604,0.00022930569,0.00040120442,-0.00026657496,-0.00040021286,-0.060432505
310183,0.33512104,-8.3022416e-05,0.6214974,0.0009193025,-0.00032805878,-0.64908695,-0.00030840913,-0.0011655408,0.00095012336,-0.00020103414,0.7894642,-0.54197145,-1.0700365,1.5110617,-8.491746e-05,0.0004995835,-0.00060779066,-0.00045519465,-0.0017652641,0.3726027,0.000598164,7.715342e-05,-0.00030202992,0.24094051,-0.123948865,0.00035251392,-0.0017371755,0.00044392416,0.00032071237,-0.0011818,0.001093042,0.0893302
83852,0.018710572,-0.000116426476,-0.34962758,-5.9337428e-05,0.0009946668,1.6570697,0.0033364769,0.00067385146,-0.001873251,-0.002268846,0.13227527,-0.11558686,0.08402803,-0.035775863,-0.0037060445,0.00054270984,-0.00041807955,-0.0019204209,-2.2146223e-05,0.14788532,0.002089166,0.0075095487,0.0014796768,0.13459527,-0.3947124,-0.0022790353,0.00088194537,0.00056393055,0.0007100927,0.0014956831,0.0022834018,0.27331942
450390,-0.25601608,-0.0014993142,0.15464021,0.0007173284,-0.0007325729,-0.54838085,0.0005837111,-0.00045908015,-6.157482e-07,-0.00029556875,-1.5637238,0.725169,0.460142,-0.5306074,-0.000823216,-0.0002965883,0.00011798206,-0.0004106988,0.00036318216,-0.11036369,0.001168845,0.00016458746,0.00010310936,-0.43456298,0.12060135,0.0010235007,-0.0007938743,0.00062317296,4.7175545e-05,-0.0010211065,0.00029951823,-0.10289884
237348,0.5033332,-0.00044769378,0.014312368,0.0018907958,-0.0003218376,-0.8230502,-0.0014459969,-0.0010425835,0.0011151703,0.00230042,-0.13090122,-0.69149995,-0.28513175,-1.2609518,-0.0008961377,0.00059470366,0.0005861197,0.00071808096,-0.001851009,-1.7843822,0.0007948394,-0.0012159433,0.001060013,2.133499,0.031049335,0.0013012236,-0.0016514065,0.000114980285,-3.7451704e-05,-0.0023152234,0.0013793921,0.4210508
381277,0.65243065,-0.00022284646,-0.25250253,0.001411253,0.0006767461,-0.37087807,-0.00048017115,4.0229712e-05,-0.00072912785,-0.0007630187,-0.19802855,2.390801,-0.28525704,0.87557155,0.00089368725,0.0005461756,0.00048470765,-0.0009161884,-0.00076273165,1.1439253,-0.0016101598,-0.0026294917,0.0020021715,0.9450064,-0.42771375,-0.0007872132,-0.0001625777,-0.00085193716,0.00037433364,0.0015927594,-0.00032966814,-0.28076905
482215,-0.17091689,-0.014279424,0.56801665,-0.002117099,-0.004870931,0.8677891,0.0016548178,0.0022602596,-0.00280675,0.00030632943,0.05747034,-1.8174217,-0.17043735,-0.36123264,-0.0066212243,-0.0030744881,-0.0027138516,-0.0013259562,0.008576471,-0.83518857,0.004713116,0.0004875317,0.0015368677,-0.077147216,0.47558638,0.0020149366,-0.0018455564,8.974644e-05,-0.003198552,-0.0060980865,-0.0005070595,0.20173086
164820,-0.19467792,-0.0008991262,0.29304567,0.0010432352,-0.00018091273,-0.7443625,0.00043476294,-0.00020005945,0.00037682478,0.00027617568,1.1853977,0.20529349,-0.8800835,-1.0948778,-0.0004458097,-0.00016037139,0.00021712172,-0.0005979605,-0.0003352044,-1.0938883,0.00024980798,-5.4035758e-05,0.00070944725,-0.77378106,-1.5732505,0.0008889231,-0.0003367377,-6.0067005e-06,9.327669e-05,-0.00054588023,0.00051201374,-0.4448427
361041,-0.07553901,0.0011821077,-0.43935883,0.00056537095,0.00058383914,-0.048961893,0.0022954054,-0.0010434901,0.00041171166,-0.0016704531,-0.5503747,1.9087166,-2.5661976,1.5500863,0.0008915127,0.00040743532,0.0025873869,-0.0001806364,0.0009728346,-0.71930593,-0.0036700715,0.00051692245,-0.00062081957,0.68937075,0.09035462,0.00064337306,-0.0008554291,0.0007331259,-0.00029748117,0.0013658009,-0.00083588203,0.3557198
62446,0.005497651,-0.0029026826,-1.5094892,-9.022838e-05,-0.00013620795,-0.67850924,0.0036866467,0.0012367988,-0.002131917,-0.0023867658,0.91091865,0.18667535,0.09558179,-0.6916489,-0.0011152326,-0.0012728367,-0.001517625,-0.0008287686,0.004534878,1.2664295,0.0013892138,0.00066684943,-0.0008806472,-1.1518284,0.1466379,0.00037785416,-0.0023323477,-0.0015810438,-0.0008056022,-0.0006836147,-0.00022363778,-0.16202793
